,LOCODE,Country,Economics,Flow_in,Max_TEU,Min_TEU,UNLOCODE,Port_Name,Note,draft0,draft1,draft2,draft3,Sum_len,draft0_r,draft1_r,draft2_r,draft3_r,Sum_len_r,fix_pc,var_pc,due_0,due_1,due_2,due_3,thc/teu,tranship/teu,Copy From
0,BDCGP,BD,BGD,1146693,2806,431,BDCGP,CHATTOGRAM ,,3124,0,0,0,3124,3060,0,0,0,3060,7130,19,35630,102130,197130,349130,52,1,
1,CNDCB,CN,CHN,208187,6931,2770,CNDCB,DA CHAN BAY ,Chiwan,0,0,0,2430,2430,0,0,0,2340,2340,12047,2,15047,22047,32047,48047,89,31,
6,CNDLC,CN,CHN,2840241,21237,650,CNDAL,DALIAN ,,0,850,1120,2708,4678,0,825,1005,2730,4560,860,4,6860,20860,40860,72860,62,37,
4,CNFOC,CN,CHN,426504,16022,368,CNFOC,Fuzhou,,300,1699,0,2034,4033,340,1650,0,1950,3940,928,3,5428,15928,30928,54928,79,31,
5,CNLYG,CN,CHN,1000865,15592,1040,CNLYG,LIANYUNGANG ,,540,0,685,1700,2925,510,0,670,1560,2740,7962,4,13962,27962,47962,79962,58,30,
13,CNNBG,CN,CHN,29187985.5,23964,368,CNNBG,NINGBO PT ,,0,0,0,9500,9500,0,0,0,9360,9360,7275,2,10275,17275,27275,43275,59,18,CNTXG
8,CNNSA,CN,CHN,7867505,23756,599,CNNSA,NANSHA PT ,,4989,1940,660,5350,12939,4930,1925,670,5460,12985,3573,3,8073,18573,33573,57573,67,45,CNNSA
11,CNQDG,CN,CHN,15423871,23964,698,CNQDG,QINGDAO PT ,,706,475,420,8600,10201,680,550,335,8580,10145,6813,2,9813,16813,26813,42813,62,12,
3,CNQZH,CN,CHN,251114,6096,556,CNQZH,QINZHOU PT ,,0,0,0,1533,1533,0,0,0,1560,1560,3573,3,8073,18573,33573,57573,67,45,
14,CNSHG,CN,CHN,35966517.5,23964,404,CNSHG,SHANGHAI PT ,,3558,2815,2068,7950,16391,3570,2750,2010,7800,16130,6497,3,10997,21497,36497,60497,75,31,
10,CNSHK,CN,CHN,12867984,20776,300,CNSHK,SHEKOU PT ,,0,1145,1840,4082,7067,0,1100,1675,3900,6675,11193,3,15693,26193,41193,65193,106,39,
7,CNTXG,CN,CHN,3337204.5,23112,1155,CNTXG,TIANJIN XINGANG PT ,,954,2658,932,3596,8140,1020,2750,1005,3510,8285,5922,2,8922,15922,25922,41922,86,24,
9,CNXMG,CN,CHN,11326372.5,23964,368,CNXMG,XIAMEN PT ,,466,347,2353,5454,8620,510,275,2345,5460,8590,5267,2,8267,15267,25267,41267,54,28,
2,CNYTG,CN,CHN,217905,4253,542,CNYTG,YANTAI PT ,,237,0,1492,2876,4605,170,0,1340,2730,4240,5922,2,8922,15922,25922,41922,86,24,
12,CNYTN,CN,CHN,20782480,23964,300,CNYTN,YANTIAN PT ,,0,0,1366,6321,7687,0,0,1340,6240,7580,7220,2,10220,17220,27220,43220,88,39,
15,HKHKG,HK,HKG,19828682.5,23964,118,HKHKG,HONG KONG ,,3050,0,915,5015,8980,3060,0,1005,5070,9135,6809,1,8309,11809,16809,24809,128,46,
18,IDJKT,ID,IDN,2532005,8209,606,IDJKT,"JAKARTA, JAVA ",,2303,2772,650,2610,8335,2380,2750,670,2730,8530,2999,3,7499,17999,32999,56999,67,31,
16,IDSRG,ID,IDN,442194,8209,1064,IDSRG,SEMARANG ,,635,0,0,0,635,680,0,0,0,680,2926,5,10426,27926,52926,92926,67,40,
17,IDSUB,ID,IDN,1252352,6422,618,IDSUB,SURABAYA ,,3590,0,0,0,3590,3570,0,0,0,3570,884,2,3884,10884,20884,36884,92,1,
20,INCCU,IN,IND,296641,2524,457,INCCU,KOLKATA (EX CALCUTTA) ,,1711,0,0,0,1711,1700,0,0,0,1700,6796,19,35296,101796,196796,348796,10,29,
22,INCOK,IN,IND,555040,6921,411,INCOK,COCHIN ,,513,0,434,600,1547,510,0,335,780,1625,7383,1,8883,12383,17383,25383,83,28,INPAV
21,INDMQ,IN,IND,454425,6921,750,INKRI,KRISHNAPATNAM ,,0,0,0,598,598,0,0,0,780,780,6796,19,35296,101796,196796,348796,10,29,INCCU
24,INHZA,IN,IND,746354,13088,1613,INHZA,HAZIRA PORT/SURAT ,,0,0,636,0,636,0,0,670,0,670,4372,2,7372,14372,24372,40372,104,4,
25,INMAA,IN,IND,828841,7344,1108,INMAA,CHENNAI (EX MADRAS) ,,0,0,905,772,1677,0,0,1005,780,1785,820,4,6820,20820,40820,72820,74,80,
27,INMUN,IN,IND,3501054,13324,498,INMUN,MUNDRA ,,0,0,0,3320,3320,0,0,0,3510,3510,7513,19,36013,102513,197513,349513,93,38,INMAA
28,INNSA,IN,IND,4070333,13324,498,INNSA,JAWAHARLAL NEHRU (NHAVA SHEVA) ,,1257,0,0,3358,4615,1190,0,0,3510,4700,6837,8,18837,46837,86837,150837,100,93,INMAA
26,INPAV,IN,IND,1058168,9572,1613,INPAV,PIPAVAV (VICTOR) PORT ,,0,0,350,385,735,0,0,335,390,725,4372,2,7372,14372,24372,40372,104,4,
19,INTUT,IN,IND,286206,6921,1092,INTUT,TUTICORIN ,,336,370,0,345,1051,340,275,0,390,1005,820,4,6820,20820,40820,72820,74,80,
23,INVTZ,IN,IND,594025,8499,1725,INVTZ,VISAKHAPATNAM ,,0,0,0,806,806,0,0,0,780,780,820,4,6820,20820,40820,72820,74,80,
30,JPHKT,JP,JPN,340044,3868,195,JPHKT,HAKATA/FUKUOKA ,,2594,530,830,350,4304,2550,550,670,390,4160,7150,2,10150,17150,27150,43150,91,42,JPHKT
29,JPMOJ,JP,JPN,332026,3868,320,JPMOJ,MOJI/KITAKYUSHU ,,1175,0,0,1225,2400,1190,0,0,1170,2360,7150,2,10150,17150,27150,43150,91,42,
34,JPNGO,JP,JPN,2678091,9394,657,JPNGO,"NAGOYA, AICHI ",,620,900,985,1450,3955,680,825,1005,1560,4070,17860,3,22360,32860,47860,71860,67,31,
33,JPOSA,JP,JPN,1295868,8540,160,JPOSA,OSAKA ,,0,0,2100,1350,3450,0,0,2010,1170,3180,12566,8,24566,52566,92566,156566,80,43,
32,JPSMZ,JP,JPN,763111.5,9394,698,JPSMZ,SHIMIZU ,,690,940,0,760,2390,680,825,0,780,2285,18160,5,25660,43160,68160,108160,98,41,
36,JPTYO,JP,JPN,3915476,13140,657,JPTYO,TOKYO ,,745,0,2001,2354,5100,680,0,2010,2340,5030,2867,4,8867,22867,42867,74867,137,43,JPNGO
35,JPUKB,JP,JPN,3554303,14026,342,JPUKB,KOBE ,,0,0,1400,3400,4800,0,0,1340,3510,4850,13695,2,16695,23695,33695,49695,53,31,
31,JPYKK,JP,JPN,352899,5527,701,JPYKK,YOKKAICHI ,,0,0,910,0,910,0,0,1005,0,1005,17860,3,22360,32860,47860,71860,67,31,
37,JPYOK,JP,JPN,4810001.5,22446,657,JPYOK,YOKOHAMA ,,0,0,940,4170,5110,0,0,1005,4290,5295,16900,0,16900,16900,16900,16900,52,34,
38,KHKOS,KH,KHM,242881,2470,628,KHKOS,KAMPONG SAOM ,,750,0,0,0,750,680,0,0,0,680,3156,5,10656,28156,53156,93156,42,31,
39,KRINC,KR,KOR,1280263,10933,500,KRINC,INCHEON ,,830,1420,1800,1600,5650,850,1375,1675,1560,5460,3337,2,6337,13337,23337,39337,40,32,
41,KRKAN,KR,KOR,3400920,21413,342,KRKAN,GWANGYANG ,,0,500,0,4283,4783,0,550,0,4290,4840,2453,0,2453,2453,2453,2453,24,24,
42,KRPUS,KR,KOR,23991233.5,23964,160,KRPUS,BUSAN ,,2405,0,1500,10610,14515,2380,0,1340,10530,14250,2842,2,5842,12842,22842,38842,38,24,KRPUS
40,KRUSN,KR,KOR,1620200.5,23756,1471,KRUSN,ULSAN ,,0,1830,230,0,2060,0,1925,335,0,2260,2842,2,5842,12842,22842,38842,38,24,
43,LKCMB,LK,LKA,7644948,23656,629,LKCMB,COLOMBO ,,1292,300,332,3249,5173,1360,275,335,3120,5090,2568,2,5568,12568,22568,38568,136,36,
44,MMRGN,MM,MMR,212794,2806,908,MMRGN,YANGON ,,4833,0,0,0,4833,4760,0,0,0,4760,7130,19,35630,102130,197130,349130,52,1,BDCGP
45,MYBTU,MY,MYS,211721,2806,144,MYBTU,"BINTULU, SARAWAK ",,514,0,450,0,964,510,0,335,0,845,3213,4,9213,23213,43213,75213,67,30,MYPEN
47,MYJHB,MY,MYS,642648,9404,216,MYJHB,JOHOR BAHRU ,,0,708,0,0,708,0,825,0,0,825,3213,4,9213,23213,43213,75213,67,30,
46,MYPEN,MY,MYS,606905,9404,653,MYPEN,PENANG (GEORGETOWN) ,,1245,600,0,0,1845,1190,550,0,0,1740,3213,4,9213,23213,43213,75213,67,30,MYPEN
49,MYPKG,MY,MYS,13626729,23112,144,MYPKG,PORT KLANG (PELABUHAN KLANG) ,,94,1137,2388,1697,5316,170,1100,2345,1560,5175,2549,1,4049,7549,12549,20549,25,17,
48,MYTPP,MY,MYS,10256935,23656,1005,MYTPP,TANJUNG PELEPAS ,,0,0,0,5040,5040,0,0,0,5070,5070,1992,1,3492,6992,11992,19992,57,29,
52,PHBTG,PH,PHL,354551,4300,1022,PHBTG,BATANGAS/LUZON ,,0,0,670,0,670,0,0,670,0,670,3125,3,7625,18125,33125,57125,75,0,
50,PHCEB,PH,PHL,258726,2806,588,PHCEB,CEBU ,,512,0,0,0,512,510,0,0,0,510,3182,3,7682,18182,33182,57182,13,42,PHMNL
53,PHDVO,PH,PHL,506016,4649,628,PHDVO,"DAVAO, MINDANAO ",General Santos City,0,800,0,423,1223,0,825,0,390,1215,3182,3,7682,18182,33182,57182,13,42,
54,PHMNL,PH,PHL,1485050,4649,760,PHMNL,MANILA ,,840,1000,1700,0,3540,850,1100,1675,0,3625,3125,3,7625,18125,33125,57125,75,0,PHMNL
51,PHSFS,PH,PHL,335802,4520,1300,PHSFS,SUBIC BAY ,,0,0,560,0,560,0,0,670,0,670,3125,3,7625,18125,33125,57125,75,0,PHDVO
55,PKBQM,PK,PAK,1289325,13324,1725,PKBQM,MUHAMMAD BIN QASIM/KARACHI ,,0,0,710,610,1320,0,0,670,780,1450,7581,11,24081,62581,117581,205581,51,30,
56,PKKHI,PK,PAK,2043406,13324,1102,PKKHI,KARACHI ,,0,0,1567,1500,3067,0,0,1675,1560,3235,9262,24,45262,129262,249262,441262,128,0,
57,SGSIN,SG,SGP,38291647.5,23964,144,SGSIN,SINGAPORE ,,1744,1470,0,17025,20239,1700,1375,0,17160,20235,3268,0,3268,3268,3268,3268,65,42,THLCH
59,THBKK,TH,THA,947914,2470,920,THBKK,BANGKOK ,,2939.5,0,0,0,2939.5,2890,0,0,0,2890,899,3,5399,15899,30899,54899,47,0,
60,THLCH,TH,THA,5332020,19864,628,THLCH,LAEM CHABANG ,,0,0,1600,3200,4800,0,0,1675,3120,4795,899,3,5399,15899,30899,54899,47,0,
58,THSGZ,TH,THA,78690,1118,628,THSGK,SONGKHLA ,,510,0,0,0,510,510,0,0,0,510,3293,5,10793,28293,53293,93293,41,32,
63,TWKEL,TW,OAS,1870217,10933,450,TWKEL,KEELUNG (CHILUNG) ,,3349,660,210,403,4622,3400,550,335,390,4675,3213,4,9213,23213,43213,75213,63,41,TWKEL
64,TWKHH,TW,OAS,12887313,23964,180,TWKHH,KAOHSIUNG ,,1259,0,2878,2565,6702,1190,0,3015,2730,6935,2231,1,3731,7231,12231,20231,9,12,TWKEL
62,TWTPE,TW,OAS,1718336,20190,610,TWTPE,TAIPEI ,,0,0,0,1377,1377,0,0,0,1560,1560,3213,4,9213,23213,43213,75213,63,41,
61,TWTXG,TW,OAS,969552,4395,368,TWTXG,TAICHUNG ,,0,400,1480,245,2125,0,275,1340,390,2005,3213,4,9213,23213,43213,75213,63,41,
65,VNHPH,VN,VNM,1963571,12726,357,VNHPH,HAIPHONG ,,7084,450,0,750,8284,7140,550,0,780,8470,3112,4,9112,23112,43112,75112,38,1,
66,VNSGN,VN,VNM,7353779,18995,404,VNSGN,HO CHI MINH CITY ,,5736,1182,1458,0,8376,5780,1100,1340,0,8220,4067,3,8567,19067,34067,58067,45,33,
